#time,accel_x,accel_y,accel_z
1708.273694,-11695.253884,4737.318029,-72779.072310
1708.276240,19393.395680,-7402.059420,-81972.218286
1708.278785,-16728.654289,2220.617826,-79520.712692
1708.281330,-7254.018232,-1036.288319,-75077.358804
1708.283875,5625.565159,-6365.771101,-77835.302597
1708.286420,-12139.377449,1924.535449,-73698.386908
1708.288965,10807.006753,-12879.583391,-79980.369991
1708.291510,-25463.084405,13175.665768,-68182.499322
1708.294055,16284.530724,-16728.654289,-80593.246390
1708.296600,-35974.008781,13619.789333,-69867.909418
1708.299145,29608.237680,-14508.036463,-76149.892501
1708.301690,-43228.027013,15248.242405,-71246.881314
1708.304235,49445.756926,-19985.560434,-85036.600278
1708.306780,444.123565,3701.029710,-72166.195912
1708.309325,23686.590144,-8734.430116,-79061.055394
1708.311870,-10658.965565,5477.523971,-78448.178995
1708.314415,17468.860231,-12435.459826,-77528.864398
1708.316960,-13619.789333,-148.041188,-75077.358804
1708.319505,29312.155303,-2664.741391,-79827.150892
1708.322051,-4737.318029,148.041188,-78907.836294
1708.324596,14359.995275,-1036.288319,-77682.083497
1708.327141,-1776.494261,-296.082377,-79520.712692
1708.329686,-10955.047942,-5773.606348,-76915.987999
1708.332231,33605.349767,-19245.354492,-80286.808190
1708.334794,-41007.409187,12583.501014,-71706.538613
1708.337357,36566.173535,-14656.077652,-87181.667672
1708.339921,-44856.480085,20281.642811,-65118.117330
1708.342484,29016.072926,-22354.219448,-85496.257577
1708.345047,-27535.661042,14952.160028,-72166.195912
1708.347610,7254.018232,-12879.583391,-84423.723880
1708.350174,-4145.153275,7846.182985,-67569.622924
1708.352737,32569.061448,-17024.736666,-83810.847481
1708.355300,-23834.631332,0.000000,-79980.369991
1708.357863,15100.201217,-1628.453072,-75230.577904
1708.360427,-23686.590144,3849.070898,-77682.083497
1708.362990,-15544.324782,-4885.359217,-83197.971083
1708.365553,888.247130,-5625.565159,-77069.207099
1708.368116,-888.247130,-3108.864956,-74311.263306
1708.370680,6957.935855,-6217.729913,-79673.931792
1708.373243,-19097.313304,2516.700203,-76915.987999
1708.375806,13619.789333,-14656.077652,-76303.111601
1708.378369,-37602.461854,7846.182985,-69408.252119
1708.380933,19393.395680,-19097.313304,-86722.010374
1708.383496,-16728.654289,8734.430116,-68029.280222
1708.386059,30496.484810,-14804.118840,-82278.656485
1708.388622,-22058.137072,11103.089130,-73391.948708
1708.391186,39082.873738,-9474.636058,-83044.751983
1708.393749,-17320.819043,7105.977043,-70940.443115
1708.396312,-18357.107362,1628.453072,-75690.235202
1708.398875,-6957.935855,-4441.235652,-78141.740796
1708.401439,3256.906145,-4589.276840,-75230.577904
1708.404002,-2960.823768,-8586.388927,-77988.521696
1708.406565,-37602.461854,6217.729913,-73698.386908
1708.409128,44412.356520,-20429.683999,-86722.010374
1708.411692,-27831.743419,8290.306550,-69408.252119
1708.414255,28868.031738,-10362.883188,-81972.218286
1708.416818,-27091.537477,10658.965565,-65118.117330
1708.419381,20133.601622,-13471.748144,-88407.420469
1708.421945,-20281.642811,6513.812290,-72012.976812
1708.424508,65434.205273,-17024.736666,-85802.695776
1708.427071,-43524.109390,5477.523971,-70480.785816
1708.429634,43376.068201,-10658.965565,-79367.493593
1708.432198,-27831.743419,5477.523971,-84117.285680
1708.434761,-48409.468607,-4589.276840,-72779.072310
1708.437331,31680.814318,-6661.853478,-72319.415011
1708.439901,-3997.112087,296.082377,-81052.903688
1708.442471,-21169.889941,-10214.842000,-76303.111601
1708.445041,14063.912898,-7550.100608,-80286.808190
1708.447611,-7254.018232,-13175.665768,-78601.398095
1708.450180,-27387.619854,8586.388927,-74311.263306
1708.452750,36122.049970,-16876.695478,-81818.999186
1708.455320,-30792.567187,15544.324782,-70787.224015
1708.457890,27091.537477,-10362.883188,-79673.931792
1708.460460,-4293.194464,3256.906145,-73545.167808
1708.463030,19097.313304,-6957.935855,-77528.864398
1708.465600,-21169.889941,0.000000,-78141.740796
1708.468170,33901.432144,-8882.471304,-80440.027290
1708.470740,-5921.647536,4885.359217,-75996.673402
1708.473310,22354.219448,-592.164754,-79827.150892
1708.475880,-11547.212695,1332.370696,-78601.398095
1708.478450,15100.201217,-5921.647536,-75383.797003
1708.481020,-14063.912898,-444.123565,-78448.178995
1708.483590,-21614.013506,11547.212695,-72472.634111
1708.486160,30644.525999,-19245.354492,-81665.780087
1708.488730,-13767.830521,19393.395680,-65118.117330
1708.491300,17764.942608,-18949.272115,-86722.010374
1708.493870,-28571.949361,14804.118840,-66803.527426
1708.496439,9918.759623,-15544.324782,-79827.150892
1708.499009,-11843.295072,11695.253884,-69561.471218
1708.501579,26351.331535,-13915.871710,-85955.914876
1708.504149,148.041188,10955.047942,-71400.100414
1708.506719,47669.262665,-12435.459826,-81512.560987
1708.509289,-49741.839302,5773.606348,-76609.549800
1708.511859,11103.089130,-5033.400406,-76915.987999
1708.514429,-18209.066173,-10066.800811,-82125.437386
1708.516999,17172.777854,2368.659014,-74924.139704
1708.519569,24278.754898,1184.329507,-68642.156621
1708.522139,-13027.624579,9178.553681,-72625.853210
1708.524709,-28868.031738,9474.636058,-65577.774629
1708.527279,5033.400406,-10658.965565,-88254.201370
1708.529849,-27979.784608,-9770.718434,-78294.959896
1708.532419,16432.571912,-148.041188,-77988.521696
1708.534989,46040.809592,-14656.077652,-85036.600278
1708.537559,-42783.903448,15840.407159,-69714.690318
1708.540133,55959.569215,-14804.118840,-79520.712692
1708.542707,-38194.626607,6661.853478,-68642.156621
1708.545282,4885.359217,-3404.947333,-76762.768900
1708.547856,-6661.853478,2072.576638,-74311.263306
1708.550430,25463.084405,-12879.583391,-77682.083497
1708.553005,8882.471304,888.247130,-77528.864398
1708.555579,30792.567187,-3997.112087,-76303.111601
1708.558154,-33457.308578,8734.430116,-75077.358804
1708.560728,-14508.036463,-592.164754,-81972.218286
1708.563302,-1924.535449,-16284.530724,-81052.903688
1708.565877,-18209.066173,6069.688724,-67416.403824
1708.568451,17468.860231,-12435.459826,-79061.055394
1708.571025,-21021.848753,9326.594869,-77682.083497
1708.573600,16580.613101,-13175.665768,-81206.122788
1708.576174,-44264.315332,11695.253884,-68335.718422
1708.578748,14508.036463,-11399.171507,-79061.055394
1708.581323,-40563.285622,14211.954086,-73238.729609
1708.583897,19097.313304,-9622.677246,-77069.207099
1708.586472,7846.182985,-1480.411884,-75996.673402
1708.589046,28275.866984,-1184.329507,-78601.398095
1708.591620,-30792.567187,6809.894666,-74311.263306
1708.594195,7254.018232,-3701.029710,-79367.493593
1708.596769,-27683.702231,148.041188,-81052.903688
1708.599343,19393.395680,-5033.400406,-77835.302597
1708.601918,-27979.784608,4441.235652,-75383.797003
1708.604492,40119.162056,1332.370696,-81818.999186
1708.607066,-3997.112087,0.000000,-79520.712692
1708.609641,-14359.995275,17912.983796,-63432.707234
1708.612215,3997.112087,-17912.983796,-79061.055394
1708.614790,-41303.491564,13471.748144,-70787.224015
1708.617364,35085.761651,-22354.219448,-84270.504780
1708.619938,2072.576638,16580.613101,-68488.937521
1708.622513,8438.347739,-14952.160028,-88100.982270
1708.625087,5773.606348,8438.347739,-74004.825107
1708.627661,-6957.935855,-10066.800811,-86415.572174
1708.630236,-23390.507767,1628.453072,-76915.987999
1708.632810,60400.804867,-21169.889941,-83964.066581
1708.635385,-24426.796086,6217.729913,-81359.341888
1708.637959,148.041188,-7698.141797,-79827.150892
1708.640533,33901.432144,-8290.306550,-83044.751983
1708.643106,-19245.354492,148.041188,-70480.785816
1708.645679,-15396.283594,-1628.453072,-71706.538613
1708.648252,-11103.089130,-740.205942,-78294.959896
1708.650824,10066.800811,-10066.800811,-78754.617194
1708.653397,12435.459826,-2664.741391,-78294.959896
1708.655970,14211.954086,-10955.047942,-77375.645298
1708.658543,-21762.054695,11695.253884,-70021.128517
1708.661115,16432.571912,-17616.901420,-83964.066581
1708.663688,-13619.789333,5773.606348,-68948.594820
1708.666261,19245.354492,-8882.471304,-82891.532884
1708.668833,-1184.329507,5329.482782,-76915.987999
1708.671406,46188.850781,-11991.336260,-78754.617194
1708.673979,-8882.471304,4589.276840,-72625.853210
1708.676552,18801.230927,-5921.647536,-80746.465489
1708.679124,-7254.018232,1480.411884,-77069.207099
1708.681697,17764.942608,-2664.741391,-73698.386908
1708.684270,-4589.276840,-3108.864956,-81818.999186
1708.686843,-2220.617826,-592.164754,-74924.139704
1708.689415,9918.759623,-14063.912898,-80133.589091
1708.691988,-12435.459826,9918.759623,-72625.853210
1708.694561,10214.842000,-14656.077652,-81512.560987
1708.697134,-31384.731941,11991.336260,-68948.594820
1708.699706,56995.857534,-25611.125593,-76149.892501
1708.702279,-47373.180288,24426.796086,-61900.516238
1708.704852,26795.455100,-17468.860231,-78754.617194
1708.707425,-19245.354492,8734.430116,-63585.926334
1708.709997,31976.896694,-11843.295072,-85496.257577
1708.712570,-75056.882519,2812.782580,-85802.695776
1708.715143,84975.642142,-9474.636058,-82278.656485
1708.717716,-55811.528027,8734.430116,-66650.308326
1708.720288,15248.242405,-5329.482782,-86568.791274
1708.722861,2072.576638,6217.729913,-77682.083497
1708.725434,-24574.837274,-2960.823768,-78141.740796
1708.728007,28571.949361,-5477.523971,-79827.150892
1708.730579,-31236.690752,-2220.617826,-74924.139704
1708.733152,3404.947333,-7698.141797,-77835.302597
1708.735725,-5921.647536,-3552.988522,-80133.589091
1708.738298,15100.201217,-13915.871710,-86109.133975
1708.740870,-33309.267390,19541.436869,-67416.403824
1708.743443,39526.997303,-17024.736666,-80593.246390
1708.746015,-34493.596897,13767.830521,-66343.870127
1708.748586,30496.484810,-19985.560434,-85649.476676
1708.751158,-20429.683999,10066.800811,-71706.538613
1708.753730,16136.489536,-17320.819043,-93616.869856
1708.756301,-5773.606348,2960.823768,-77375.645298
1708.758873,25167.002028,-12287.418637,-78601.398095
1708.761444,-19097.313304,1776.494261,-76303.111601
1708.764016,2220.617826,-10510.924376,-80286.808190
1708.766588,-15544.324782,-6661.853478,-78601.398095
1708.769159,148.041188,-1924.535449,-78601.398095
1708.771731,-4885.359217,-6661.853478,-80286.808190
1708.774302,-11251.130318,6217.729913,-71859.757712
1708.776874,11103.089130,-17468.860231,-79827.150892
1708.779446,-35085.761651,11251.130318,-67569.622924
1708.782017,3701.029710,-19097.313304,-82431.875585
1708.784589,-15988.448347,10658.965565,-70327.566716
1708.787160,29164.114115,-14952.160028,-82585.094684
1708.789732,-41155.450375,9326.594869,-73851.606007
1708.792304,50482.045244,-4885.359217,-73545.167808
1708.794875,-31828.855506,-7402.059420,-72932.291410
1708.797447,22650.301825,-5625.565159,-83504.409282
1708.800018,3849.070898,3256.906145,-76303.111601
1708.802590,-10658.965565,-11695.253884,-80286.808190
1708.805162,21317.931130,10807.006753,-75537.016103
1708.807733,-1332.370696,-4145.153275,-69867.909418
1708.810305,32865.143825,6217.729913,-76456.330700
1708.812876,-15100.201217,7402.059420,-71400.100414
1708.815448,12287.418637,-16876.695478,-84423.723880
1708.818020,-13767.830521,7105.977043,-67416.403824
1708.820591,66026.370026,-15544.324782,-79214.274493
1708.823163,-44708.438897,14359.995275,-68029.280222
1708.825734,41599.573940,-5773.606348,-81206.122788
1708.828306,-296.082377,1332.370696,-73851.606007
1708.830878,10658.965565,-11251.130318,-78294.959896
1708.833449,6513.812290,1924.535449,-73391.948708
1708.836021,10362.883188,-1036.288319,-73698.386908
1708.838592,-5625.565159,-2368.659014,-73391.948708
1708.841164,16284.530724,-6069.688724,-78754.617194
1708.843735,-1184.329507,-9918.759623,-77988.521696
1708.846307,-18949.272115,10807.006753,-69408.252119
1708.848878,18505.148550,-18209.066173,-83197.971083
1708.851448,-32272.979071,11399.171507,-71246.881314
1708.854019,25907.207970,-18505.148550,-82125.437386
1708.856590,-21169.889941,16728.654289,-66650.308326
1708.859161,23242.466579,-15544.324782,-85189.819378
1708.861731,-25018.960840,16876.695478,-68488.937521
1708.864302,31384.731941,-10955.047942,-79673.931792
1708.866873,-6365.771101,5921.647536,-77375.645298
1708.869443,18505.148550,-740.205942,-75077.358804
1708.872014,-14952.160028,1628.453072,-78141.740796
1708.874585,25463.084405,-3849.070898,-77528.864398
1708.877155,-7402.059420,3108.864956,-75230.577904
1708.879726,18801.230927,-1776.494261,-77682.083497
1708.882297,-9030.512492,2368.659014,-74617.701505
1708.884867,15544.324782,-12435.459826,-85496.257577
1708.887438,-888.247130,-5181.441594,-85496.257577
1708.890009,-50926.168810,21021.848753,-62666.611736
1708.892579,7994.224174,-22058.137072,-83964.066581
1708.895150,5921.647536,13767.830521,-71246.881314
1708.897721,-23242.466579,-22946.384202,-89479.954166
1708.900292,27387.619854,9474.636058,-72779.072310
1708.902862,-10807.006753,-14063.912898,-85802.695776
1708.905433,-37010.297100,11251.130318,-75077.358804
1708.908004,50482.045244,-13619.789333,-79367.493593
1708.910574,-46929.056723,2368.659014,-73698.386908
1708.913145,49593.798114,3849.070898,-75690.235202
1708.915716,-1036.288319,-3997.112087,-81052.903688
1708.918286,2664.741391,-2072.576638,-71093.662214
1708.920857,-8734.430116,-1480.411884,-81818.999186
1708.923428,-10955.047942,4737.318029,-73238.729609
1708.925998,-7994.224174,-4885.359217,-79214.274493
1708.928569,-8438.347739,-2664.741391,-76456.330700
1708.931140,7846.182985,-11843.295072,-78601.398095
1708.933710,-17320.819043,8586.388927,-70634.004916
1708.936281,8290.306550,-13175.665768,-81665.780087
1708.938852,-35677.926404,16580.613101,-71093.662214
1708.941423,22650.301825,-19985.560434,-85955.914876
1708.943993,5625.565159,5773.606348,-66343.870127
1708.946564,-6069.688724,-10510.924376,-76915.987999
1708.949135,-7402.059420,2368.659014,-74924.139704
1708.951704,31384.731941,-6365.771101,-74464.482406
1708.954273,-21762.054695,3849.070898,-74770.920605
1708.956843,25315.043216,-2960.823768,-81972.218286
1708.959413,-12287.418637,5773.606348,-74770.920605
1708.961982,-5625.565159,-4885.359217,-77682.083497
1708.964552,-5181.441594,-11991.336260,-82278.656485
1708.967122,-8882.471304,0.000000,-78141.740796
1708.969691,148.041188,-8734.430116,-76149.892501
1708.972261,-36418.132346,9326.594869,-77222.426198
1708.974831,21465.972318,-23834.631332,-88560.639569
1708.977400,-21021.848753,10658.965565,-70174.347617
1708.979970,13175.665768,-11251.130318,-77988.521696
1708.982540,-34493.596897,14211.954086,-65730.993728
1708.985109,8438.347739,-21614.013506,-87181.667672
1708.987679,8882.471304,4737.318029,-75843.454302
1708.990249,25315.043216,-13471.748144,-85955.914876
1708.992818,-34937.720462,3701.029710,-75843.454302
1708.995388,39675.038491,-12879.583391,-81052.903688
1708.997958,-29756.278868,4737.318029,-85343.038477
1709.000527,15248.242405,-13915.871710,-83964.066581
1709.003097,35381.844028,-1480.411884,-77528.864398
1709.005667,-25167.002028,2960.823768,-71553.319513
1709.008236,10362.883188,5921.647536,-81665.780087
1709.010806,9030.512492,-6365.771101,-80899.684589
1709.013375,-16284.530724,-3552.988522,-73391.948708
1709.015945,-27683.702231,14508.036463,-68948.594820
1709.018515,29460.196492,-21910.095883,-87794.544071
1709.021084,-32124.937883,19393.395680,-68948.594820
1709.023654,41155.450375,-17912.983796,-85649.476676
1709.026224,-17616.901420,16580.613101,-66803.527426
1709.028793,26351.331535,-11547.212695,-80593.246390
1709.031363,-19837.519246,11399.171507,-67722.842023
1709.033929,35085.761651,-16136.489536,-81512.560987
1709.036494,-3997.112087,4737.318029,-73851.606007
1709.039060,35085.761651,-10362.883188,-79980.369991
1709.041625,-1776.494261,-444.123565,-79827.150892
1709.044191,-3849.070898,-6513.812290,-79673.931792
1709.046757,8586.388927,-5921.647536,-78754.617194
1709.049322,-9326.594869,-2072.576638,-72932.291410
1709.051888,4293.194464,-8142.265362,-80440.027290
1709.054453,1036.288319,4589.276840,-76149.892501
1709.057019,888.247130,-9326.594869,-77222.426198
1709.059584,-13323.706956,5625.565159,-75230.577904
1709.062150,26203.290347,-14656.077652,-80593.246390
1709.064716,-44560.397708,8438.347739,-71400.100414
1709.067281,37306.379477,-11103.089130,-82585.094684
1709.069847,-18357.107362,11991.336260,-72472.634111
1709.072412,21317.931130,-12287.418637,-88100.982270
1709.074978,35825.967593,7846.182985,-67263.184724
1709.077543,-29756.278868,5477.523971,-70480.785816
1709.080109,-13767.830521,-4589.276840,-72472.634111
1709.082675,36566.173535,-17764.942608,-82891.532884
1709.085240,-31976.896694,1924.535449,-74770.920605
1709.087806,51814.415940,-2812.782580,-82278.656485
1709.090371,-34937.720462,15692.365970,-72012.976812
1709.092937,-40119.162056,6217.729913,-72932.291410
1709.095503,21910.095883,-22354.219448,-80593.246390
1709.098068,-37158.338288,11695.253884,-69714.690318
1709.100634,16580.613101,-12139.377449,-80133.589091
1709.103199,-30496.484810,20133.601622,-70634.004916
1709.105765,21021.848753,-16136.489536,-85955.914876
1709.108330,-27091.537477,15248.242405,-68948.594820
1709.110896,24722.878463,-19837.519246,-80133.589091
1709.113462,-24278.754898,12879.583391,-66037.431928
1709.116027,24426.796086,-10807.006753,-81665.780087
1709.118593,1036.288319,-444.123565,-76303.111601
1709.121158,9474.636058,-3404.947333,-82125.437386
1709.123724,-13915.871710,3256.906145,-78754.617194
1709.126289,-3997.112087,-5921.647536,-74617.701505
1709.128855,-15396.283594,-3701.029710,-83044.751983
1709.131421,6365.771101,-1332.370696,-75996.673402
1709.133986,3552.988522,-2516.700203,-73851.606007
1709.136550,-9326.594869,-2072.576638,-80899.684589
1709.139114,-12731.542202,-4737.318029,-79061.055394
1709.141677,-34049.473332,9770.718434,-71400.100414
1709.144241,29608.237680,-20725.766376,-80746.465489
1709.146805,-40859.367998,15988.448347,-71706.538613
1709.149368,34345.555709,-14359.995275,-83044.751983
1709.151932,-31976.896694,9622.677246,-70327.566716
1709.154496,44708.438897,-16432.571912,-90092.830565
1709.157059,-10510.924376,12879.583391,-70787.224015
1709.159623,2960.823768,-9622.677246,-81052.903688
1709.162187,-10510.924376,9030.512492,-69867.909418
1709.164750,-25759.166782,-5477.523971,-77682.083497
1709.167314,74908.841330,-5921.647536,-78907.836294
1709.169878,-5625.565159,14952.160028,-78141.740796
1709.172441,-26055.249158,-1480.411884,-76609.549800
1709.175005,30052.361245,-1184.329507,-70480.785816
1709.177569,-32569.061448,-13175.665768,-66037.431928
1709.180132,-2812.782580,148.041188,-72472.634111
1709.182696,16580.613101,-16876.695478,-83197.971083
1709.185260,-42635.862259,10362.883188,-75537.016103
1709.187823,56995.857534,-25611.125593,-88560.639569
1709.190387,-28275.866984,21317.931130,-66037.431928
1709.192951,-1924.535449,-10658.965565,-80746.465489
1709.195514,-1332.370696,-296.082377,-72472.634111
1709.198078,21465.972318,-9030.512492,-82738.313784
1709.200642,3108.864956,2072.576638,-72932.291410
1709.203205,42783.903448,-888.247130,-75383.797003
1709.205769,-24130.713709,9770.718434,-75996.673402
1709.208333,1184.329507,0.000000,-73698.386908
1709.210896,-3849.070898,-3701.029710,-81206.122788
1709.213460,13175.665768,1184.329507,-72166.195912
1709.216024,-148.041188,3701.029710,-75843.454302
1709.218587,-10510.924376,12287.418637,-68029.280222
1709.221151,12731.542202,-14063.912898,-83504.409282
1709.223715,-30940.608376,16136.489536,-68948.594820
1709.226278,33013.185013,-19097.313304,-82125.437386
1709.228842,-29312.155303,12731.542202,-70480.785816
1709.231406,34937.720462,-15544.324782,-86722.010374
1709.233970,3849.070898,-444.123565,-75077.358804
1709.236533,34493.596897,-6513.812290,-81512.560987
1709.239096,-22798.343014,4737.318029,-85649.476676
1709.241658,-8586.388927,-2220.617826,-69255.033019
1709.244220,-3552.988522,-22206.178260,-79673.931792
1709.246783,14359.995275,5921.647536,-78141.740796
1709.249345,-8586.388927,-24278.754898,-84576.942979
1709.251908,27239.578666,13323.706956,-68948.594820
1709.254470,-28868.031738,-16432.571912,-86109.133975
1709.257033,-47373.180288,9474.636058,-69561.471218
1709.259595,41895.656317,-21614.013506,-79980.369991
1709.262158,-52554.621882,16876.695478,-71246.881314
1709.264720,45596.686027,-14508.036463,-91931.459760
1709.267282,-23390.507767,12583.501014,-79827.150892
1709.269845,20281.642811,-2812.782580,-75537.016103
1709.272407,-30496.484810,2516.700203,-80593.246390
1709.274970,1776.494261,3701.029710,-74158.044206
1709.277532,-21169.889941,1628.453072,-77375.645298
1709.280095,14063.912898,-7105.977043,-78754.617194
1709.282657,6513.812290,-888.247130,-80133.589091
1709.285219,-10362.883188,2664.741391,-71706.538613
1709.287782,-8290.306550,-9030.512492,-75690.235202
1709.290344,-14508.036463,0.000000,-80440.027290
1709.292907,5477.523971,-15396.283594,-80133.589091
1709.295469,-35677.926404,16432.571912,-62666.611736
1709.298032,21910.095883,-16728.654289,-88560.639569
1709.300594,-5329.482782,13027.624579,-68642.156621
1709.303157,24130.713709,-15988.448347,-82738.313784
1709.305719,-30200.402434,10214.842000,-71553.319513
1709.308281,20429.683999,-7846.182985,-79214.274493
1709.310844,-13175.665768,3256.906145,-69561.471218
1709.313406,23686.590144,-12435.459826,-82431.875585
1709.315969,-3552.988522,-1036.288319,-77682.083497
1709.318531,-6365.771101,0.000000,-77528.864398
